count,county,county geoid,registration year,state
95,Calhoun County,1015.0,2018.0,fl
4584,Clay County,1027.0,2018.0,fl
4500,Escambia County,1053.0,2018.0,fl
216,Franklin County,1059.0,2018.0,fl
330,Jackson County,1071.0,2018.0,fl
2250,Jefferson County,1073.0,2018.0,fl
29988,Lee County,1081.0,2018.0,fl
160,Madison County,1089.0,2018.0,fl
6600,Marion County,1093.0,2018.0,fl
5706,Monroe County,1099.0,2018.0,fl
3102,Sumter County,1119.0,2018.0,fl
195,Washington County,1129.0,2018.0,fl
30,Calhoun County,5013.0,2018.0,fl
5348,Clay County,5021.0,2018.0,fl
416,Columbia County,5027.0,2018.0,fl
234,Franklin County,5047.0,2018.0,fl
195,Jackson County,5067.0,2018.0,fl
475,Jefferson County,5069.0,2018.0,fl
21168,Lee County,5077.0,2018.0,fl
56,Madison County,5087.0,2018.0,fl
7150,Marion County,5089.0,2018.0,fl
2853,Monroe County,5095.0,2018.0,fl
9081,Polk County,5113.0,2018.0,fl
12,Union County,5139.0,2018.0,fl
364,Washington County,5143.0,2018.0,fl
14352,Lake County,6033.0,2018.0,fl
771015,Orange County,6059.0,2018.0,fl
60,Jackson County,8057.0,2018.0,fl
1075,Jefferson County,8059.0,2018.0,fl
3588,Lake County,8065.0,2018.0,fl
156,Washington County,8121.0,2018.0,fl
24512,Alachua County,12001.0,2018.0,fl
20,Baker County,12003.0,2018.0,fl
6600,Bay County,12005.0,2018.0,fl
242,Bradford County,12007.0,2018.0,fl
86526,Brevard County,12009.0,2018.0,fl
675070,Broward County,12011.0,2018.0,fl
50,Calhoun County,12013.0,2018.0,fl
8358,Charlotte County,12015.0,2018.0,fl
4623,Citrus County,12017.0,2018.0,fl
6112,Clay County,12019.0,2018.0,fl
43992,Collier County,12021.0,2018.0,fl
520,Columbia County,12023.0,2018.0,fl
12,Dixie County,12029.0,2018.0,fl
107068,Duval County,12031.0,2018.0,fl
12600,Escambia County,12033.0,2018.0,fl
3070,Flagler County,12035.0,2018.0,fl
108,Franklin County,12037.0,2018.0,fl
77,Gadsden County,12039.0,2018.0,fl
50,Gilchrist County,12041.0,2018.0,fl
25,Glades County,12043.0,2018.0,fl
20,Gulf County,12045.0,2018.0,fl
3,Hamilton County,12047.0,2018.0,fl
30,Hardee County,12049.0,2018.0,fl
224,Hendry County,12051.0,2018.0,fl
4400,Hernando County,12053.0,2018.0,fl
1833,Highlands County,12055.0,2018.0,fl
388960,Hillsborough County,12057.0,2018.0,fl
48,Holmes County,12059.0,2018.0,fl
6160,Indian River County,12061.0,2018.0,fl
225,Jackson County,12063.0,2018.0,fl
175,Jefferson County,12065.0,2018.0,fl
34983,Lake County,12069.0,2018.0,fl
89964,Lee County,12071.0,2018.0,fl
14432,Leon County,12073.0,2018.0,fl
322,Levy County,12075.0,2018.0,fl
28,Liberty County,12077.0,2018.0,fl
20,Madison County,12079.0,2018.0,fl
40256,Manatee County,12081.0,2018.0,fl
23650,Marion County,12083.0,2018.0,fl
12376,Martin County,12085.0,2018.0,fl
4121,Monroe County,12087.0,2018.0,fl
1560,Nassau County,12089.0,2018.0,fl
6919,Okaloosa County,12091.0,2018.0,fl
96,Okeechobee County,12093.0,2018.0,fl
409110,Orange County,12095.0,2018.0,fl
15594,Osceola County,12097.0,2018.0,fl
603668,Palm Beach County,12099.0,2018.0,fl
53812,Pasco County,12101.0,2018.0,fl
249068,Pinellas County,12103.0,2018.0,fl
59531,Polk County,12105.0,2018.0,fl
740,Putnam County,12107.0,2018.0,fl
17584,St. Johns County,12109.0,2018.0,fl
13823,St. Lucie County,12111.0,2018.0,fl
3939,Santa Rosa County,12113.0,2018.0,fl
73371,Sarasota County,12115.0,2018.0,fl
50949,Seminole County,12117.0,2018.0,fl
3666,Sumter County,12119.0,2018.0,fl
200,Suwannee County,12121.0,2018.0,fl
7,Taylor County,12123.0,2018.0,fl
4,Union County,12125.0,2018.0,fl
52871,Volusia County,12127.0,2018.0,fl
125,Wakulla County,12129.0,2018.0,fl
3165,Walton County,12131.0,2018.0,fl
130,Washington County,12133.0,2018.0,fl
30,Baker County,13007.0,2018.0,fl
35,Calhoun County,13037.0,2018.0,fl
2674,Clay County,13061.0,2018.0,fl
416,Columbia County,13073.0,2018.0,fl
47795,Dade County,13083.0,2018.0,fl
198,Franklin County,13119.0,2018.0,fl
255,Jackson County,13157.0,2018.0,fl
225,Jefferson County,13163.0,2018.0,fl
14112,Lee County,13177.0,2018.0,fl
70,Liberty County,13179.0,2018.0,fl
48,Madison County,13195.0,2018.0,fl
2750,Marion County,13197.0,2018.0,fl
3487,Monroe County,13207.0,2018.0,fl
9081,Polk County,13233.0,2018.0,fl
185,Putnam County,13237.0,2018.0,fl
7548,Seminole County,13253.0,2018.0,fl
2538,Sumter County,13261.0,2018.0,fl
8,Taylor County,13269.0,2018.0,fl
7,Union County,13291.0,2018.0,fl
2743,Walton County,13297.0,2018.0,fl
130,Washington County,13303.0,2018.0,fl
126,Franklin County,16041.0,2018.0,fl
250,Jefferson County,16051.0,2018.0,fl
40,Madison County,16065.0,2018.0,fl
65,Washington County,16087.0,2018.0,fl
45,Calhoun County,17013.0,2018.0,fl
4966,Clay County,17025.0,2018.0,fl
360,Franklin County,17055.0,2018.0,fl
10,Hamilton County,17065.0,2018.0,fl
315,Jackson County,17077.0,2018.0,fl
550,Jefferson County,17081.0,2018.0,fl
36777,Lake County,17097.0,2018.0,fl
42336,Lee County,17103.0,2018.0,fl
152,Madison County,17119.0,2018.0,fl
9900,Marion County,17121.0,2018.0,fl
3487,Monroe County,17133.0,2018.0,fl
296,Putnam County,17155.0,2018.0,fl
14,Union County,17181.0,2018.0,fl
182,Washington County,17189.0,2018.0,fl
6876,Clay County,18021.0,2018.0,fl
270,Franklin County,18047.0,2018.0,fl
30,Hamilton County,18057.0,2018.0,fl
150,Jackson County,18071.0,2018.0,fl
300,Jefferson County,18077.0,2018.0,fl
30498,Lake County,18089.0,2018.0,fl
80,Madison County,18095.0,2018.0,fl
30800,Marion County,18097.0,2018.0,fl
6552,Martin County,18101.0,2018.0,fl
7291,Monroe County,18105.0,2018.0,fl
68185,Orange County,18117.0,2018.0,fl
629,Putnam County,18133.0,2018.0,fl
5,Union County,18161.0,2018.0,fl
169,Washington County,18175.0,2018.0,fl
70,Calhoun County,19025.0,2018.0,fl
7258,Clay County,19041.0,2018.0,fl
342,Franklin County,19069.0,2018.0,fl
16,Hamilton County,19079.0,2018.0,fl
240,Jackson County,19097.0,2018.0,fl
400,Jefferson County,19101.0,2018.0,fl
24696,Lee County,19111.0,2018.0,fl
80,Madison County,19121.0,2018.0,fl
10450,Marion County,19125.0,2018.0,fl
2536,Monroe County,19135.0,2018.0,fl
6780,Osceola County,19143.0,2018.0,fl
63567,Polk County,19153.0,2018.0,fl
11,Taylor County,19173.0,2018.0,fl
11,Union County,19175.0,2018.0,fl
169,Washington County,19183.0,2018.0,fl
3820,Clay County,20027.0,2018.0,fl
234,Franklin County,20059.0,2018.0,fl
3,Hamilton County,20075.0,2018.0,fl
300,Jackson County,20085.0,2018.0,fl
375,Jefferson County,20087.0,2018.0,fl
10450,Marion County,20115.0,2018.0,fl
195,Washington County,20201.0,2018.0,fl
5730,Clay County,21051.0,2018.0,fl
162,Franklin County,21073.0,2018.0,fl
120,Jackson County,21109.0,2018.0,fl
1725,Jefferson County,21111.0,2018.0,fl
15876,Lee County,21129.0,2018.0,fl
32,Madison County,21151.0,2018.0,fl
6600,Marion County,21155.0,2018.0,fl
6552,Martin County,21159.0,2018.0,fl
2219,Monroe County,21171.0,2018.0,fl
8,Taylor County,21217.0,2018.0,fl
6,Union County,21225.0,2018.0,fl
130,Washington County,21229.0,2018.0,fl
396,Franklin County,23007.0,2018.0,fl
416,Washington County,23029.0,2018.0,fl
325,Washington County,24043.0,2018.0,fl
684,Franklin County,25011.0,2018.0,fl
5400,Bay County,26017.0,2018.0,fl
120,Calhoun County,26025.0,2018.0,fl
465,Jackson County,26075.0,2018.0,fl
9867,Lake County,26085.0,2018.0,fl
7925,Monroe County,26115.0,2018.0,fl
6780,Osceola County,26133.0,2018.0,fl
7640,Clay County,27027.0,2018.0,fl
210,Jackson County,27063.0,2018.0,fl
7176,Lake County,27075.0,2018.0,fl
10920,Martin County,27091.0,2018.0,fl
23207,Polk County,27119.0,2018.0,fl
299,Washington County,27163.0,2018.0,fl
60,Calhoun County,28013.0,2018.0,fl
3438,Clay County,28025.0,2018.0,fl
126,Franklin County,28037.0,2018.0,fl
72,Holmes County,28051.0,2018.0,fl
225,Jackson County,28059.0,2018.0,fl
175,Jefferson County,28063.0,2018.0,fl
29988,Lee County,28081.0,2018.0,fl
56,Madison County,28089.0,2018.0,fl
4400,Marion County,28091.0,2018.0,fl
4438,Monroe County,28095.0,2018.0,fl
13,Union County,28145.0,2018.0,fl
221,Washington County,28151.0,2018.0,fl
11842,Clay County,29047.0,2018.0,fl
124267,Dade County,29057.0,2018.0,fl
432,Franklin County,29071.0,2018.0,fl
1185,Jackson County,29095.0,2018.0,fl
725,Jefferson County,29099.0,2018.0,fl
28,Madison County,29123.0,2018.0,fl
5500,Marion County,29127.0,2018.0,fl
4755,Monroe County,29137.0,2018.0,fl
19171,Polk County,29167.0,2018.0,fl
370,Putnam County,29171.0,2018.0,fl
234,Washington County,29221.0,2018.0,fl
250,Jefferson County,30043.0,2018.0,fl
13455,Lake County,30047.0,2018.0,fl
42,Liberty County,30051.0,2018.0,fl
60,Madison County,30057.0,2018.0,fl
5730,Clay County,31035.0,2018.0,fl
162,Franklin County,31061.0,2018.0,fl
14,Hamilton County,31081.0,2018.0,fl
350,Jefferson County,31095.0,2018.0,fl
36,Madison County,31119.0,2018.0,fl
10090,Polk County,31143.0,2018.0,fl
195,Washington County,31177.0,2018.0,fl
185640,Hillsborough County,33011.0,2018.0,fl
40,Union County,34039.0,2018.0,fl
9,Union County,35059.0,2018.0,fl
2132,Columbia County,36021.0,2018.0,fl
504,Franklin County,36033.0,2018.0,fl
14,Hamilton County,36041.0,2018.0,fl
1150,Jefferson County,36045.0,2018.0,fl
128,Madison County,36053.0,2018.0,fl
21873,Monroe County,36055.0,2018.0,fl
16185,Nassau County,36059.0,2018.0,fl
314700,Orange County,36071.0,2018.0,fl
666,Putnam County,36079.0,2018.0,fl
377,Washington County,36115.0,2018.0,fl
1910,Clay County,37043.0,2018.0,fl
216,Franklin County,37069.0,2018.0,fl
210,Jackson County,37099.0,2018.0,fl
12348,Lee County,37105.0,2018.0,fl
28,Madison County,37115.0,2018.0,fl
8736,Martin County,37117.0,2018.0,fl
94410,Orange County,37135.0,2018.0,fl
9081,Polk County,37149.0,2018.0,fl
14,Union County,37179.0,2018.0,fl
65,Washington County,37187.0,2018.0,fl
1134,Franklin County,39049.0,2018.0,fl
69,Hamilton County,39061.0,2018.0,fl
160,Holmes County,39075.0,2018.0,fl
180,Jackson County,39079.0,2018.0,fl
625,Jefferson County,39081.0,2018.0,fl
12558,Lake County,39085.0,2018.0,fl
52,Madison County,39097.0,2018.0,fl
8250,Marion County,39101.0,2018.0,fl
5706,Monroe County,39111.0,2018.0,fl
814,Putnam County,39137.0,2018.0,fl
21,Union County,39159.0,2018.0,fl
325,Washington County,39167.0,2018.0,fl
150,Jackson County,40065.0,2018.0,fl
150,Jefferson County,40067.0,2018.0,fl
20757,Seminole County,40133.0,2018.0,fl
169,Washington County,40147.0,2018.0,fl
65,Baker County,41001.0,2018.0,fl
468,Columbia County,41009.0,2018.0,fl
285,Jackson County,41029.0,2018.0,fl
175,Jefferson County,41031.0,2018.0,fl
8073,Lake County,41037.0,2018.0,fl
19250,Marion County,41047.0,2018.0,fl
11099,Polk County,41053.0,2018.0,fl
9,Union County,41061.0,2018.0,fl
494,Washington County,41067.0,2018.0,fl
660,Bradford County,42015.0,2018.0,fl
1196,Columbia County,42037.0,2018.0,fl
630,Franklin County,42055.0,2018.0,fl
775,Jefferson County,42065.0,2018.0,fl
12680,Monroe County,42089.0,2018.0,fl
15,Union County,42119.0,2018.0,fl
884,Washington County,42125.0,2018.0,fl
299,Washington County,44009.0,2018.0,fl
35,Calhoun County,45017.0,2018.0,fl
21168,Lee County,45061.0,2018.0,fl
4400,Marion County,45067.0,2018.0,fl
4794,Sumter County,45085.0,2018.0,fl
10,Union County,45087.0,2018.0,fl
3056,Clay County,46027.0,2018.0,fl
90,Jackson County,46071.0,2018.0,fl
13455,Lake County,46079.0,2018.0,fl
7,Union County,46127.0,2018.0,fl
2674,Clay County,47027.0,2018.0,fl
324,Franklin County,47051.0,2018.0,fl
37,Hamilton County,47065.0,2018.0,fl
165,Jackson County,47087.0,2018.0,fl
250,Jefferson County,47089.0,2018.0,fl
2691,Lake County,47095.0,2018.0,fl
68,Madison County,47113.0,2018.0,fl
7700,Marion County,47115.0,2018.0,fl
3170,Monroe County,47123.0,2018.0,fl
13117,Polk County,47139.0,2018.0,fl
444,Putnam County,47141.0,2018.0,fl
11,Union County,47173.0,2018.0,fl
208,Washington County,47179.0,2018.0,fl
30,Calhoun County,48057.0,2018.0,fl
4202,Clay County,48077.0,2018.0,fl
12354,Duval County,48131.0,2018.0,fl
126,Franklin County,48159.0,2018.0,fl
10,Hamilton County,48193.0,2018.0,fl
135,Jackson County,48239.0,2018.0,fl
575,Jefferson County,48245.0,2018.0,fl
17640,Lee County,48287.0,2018.0,fl
7216,Leon County,48289.0,2018.0,fl
105,Liberty County,48291.0,2018.0,fl
24,Madison County,48313.0,2018.0,fl
4400,Marion County,48315.0,2018.0,fl
3640,Martin County,48317.0,2018.0,fl
36715,Orange County,48361.0,2018.0,fl
12108,Polk County,48373.0,2018.0,fl
21,Taylor County,48441.0,2018.0,fl
104,Washington County,48477.0,2018.0,fl
299,Washington County,49053.0,2018.0,fl
396,Franklin County,50011.0,2018.0,fl
194065,Orange County,50017.0,2018.0,fl
455,Washington County,50023.0,2018.0,fl
5970,Charlotte County,51037.0,2018.0,fl
324,Franklin County,51067.0,2018.0,fl
19404,Lee County,51105.0,2018.0,fl
92,Madison County,51113.0,2018.0,fl
73430,Orange County,51137.0,2018.0,fl
169,Washington County,51191.0,2018.0,fl
312,Columbia County,53013.0,2018.0,fl
144,Franklin County,53021.0,2018.0,fl
225,Jefferson County,53031.0,2018.0,fl
80,Calhoun County,54013.0,2018.0,fl
6112,Clay County,54015.0,2018.0,fl
270,Jackson County,54035.0,2018.0,fl
275,Jefferson County,54037.0,2018.0,fl
13200,Marion County,54049.0,2018.0,fl
3804,Monroe County,54063.0,2018.0,fl
777,Putnam County,54079.0,2018.0,fl
10,Taylor County,54091.0,2018.0,fl
1144,Columbia County,55021.0,2018.0,fl
225,Jackson County,55053.0,2018.0,fl
475,Jefferson County,55055.0,2018.0,fl
5072,Monroe County,55081.0,2018.0,fl
21189,Polk County,55095.0,2018.0,fl
15,Taylor County,55119.0,2018.0,fl
260,Washington County,55131.0,2018.0,fl
95,Calhoun County,1015.0,2019.0,fl
3564,Clay County,1027.0,2019.0,fl
3890,Escambia County,1053.0,2019.0,fl
216,Franklin County,1059.0,2019.0,fl
330,Jackson County,1071.0,2019.0,fl
1890,Jefferson County,1073.0,2019.0,fl
24871,Lee County,1081.0,2019.0,fl
80,Madison County,1089.0,2019.0,fl
5520,Marion County,1093.0,2019.0,fl
5112,Monroe County,1099.0,2019.0,fl
2805,Sumter County,1119.0,2019.0,fl
150,Washington County,1129.0,2019.0,fl
30,Calhoun County,5013.0,2019.0,fl
4158,Clay County,5021.0,2019.0,fl
328,Columbia County,5027.0,2019.0,fl
234,Franklin County,5047.0,2019.0,fl
195,Jackson County,5067.0,2019.0,fl
399,Jefferson County,5069.0,2019.0,fl
17556,Lee County,5077.0,2019.0,fl
28,Madison County,5087.0,2019.0,fl
5980,Marion County,5089.0,2019.0,fl
2556,Monroe County,5095.0,2019.0,fl
7695,Polk County,5113.0,2019.0,fl
24,Union County,5139.0,2019.0,fl
280,Washington County,5143.0,2019.0,fl
13056,Lake County,6033.0,2019.0,fl
710010,Orange County,6059.0,2019.0,fl
60,Jackson County,8057.0,2019.0,fl
903,Jefferson County,8059.0,2019.0,fl
3264,Lake County,8065.0,2019.0,fl
120,Washington County,8121.0,2019.0,fl
22368,Alachua County,12001.0,2019.0,fl
48,Baker County,12003.0,2019.0,fl
5214,Bay County,12005.0,2019.0,fl
99,Bradford County,12007.0,2019.0,fl
76222,Brevard County,12009.0,2019.0,fl
556070,Broward County,12011.0,2019.0,fl
50,Calhoun County,12013.0,2019.0,fl
7602,Charlotte County,12015.0,2019.0,fl
3703,Citrus County,12017.0,2019.0,fl
4752,Clay County,12019.0,2019.0,fl
36270,Collier County,12021.0,2019.0,fl
410,Columbia County,12023.0,2019.0,fl
18,Dixie County,12029.0,2019.0,fl
90116,Duval County,12031.0,2019.0,fl
10892,Escambia County,12033.0,2019.0,fl
2580,Flagler County,12035.0,2019.0,fl
108,Franklin County,12037.0,2019.0,fl
65,Gilchrist County,12041.0,2019.0,fl
20,Glades County,12043.0,2019.0,fl
14,Gulf County,12045.0,2019.0,fl
6,Hamilton County,12047.0,2019.0,fl
20,Hardee County,12049.0,2019.0,fl
203,Hendry County,12051.0,2019.0,fl
3664,Hernando County,12053.0,2019.0,fl
1430,Highlands County,12055.0,2019.0,fl
338712,Hillsborough County,12057.0,2019.0,fl
36,Holmes County,12059.0,2019.0,fl
5296,Indian River County,12061.0,2019.0,fl
225,Jackson County,12063.0,2019.0,fl
147,Jefferson County,12065.0,2019.0,fl
31824,Lake County,12069.0,2019.0,fl
74613,Lee County,12071.0,2019.0,fl
12518,Leon County,12073.0,2019.0,fl
336,Levy County,12075.0,2019.0,fl
16,Liberty County,12077.0,2019.0,fl
10,Madison County,12079.0,2019.0,fl
35712,Manatee County,12081.0,2019.0,fl
19780,Marion County,12083.0,2019.0,fl
9571,Martin County,12085.0,2019.0,fl
3692,Monroe County,12087.0,2019.0,fl
1304,Nassau County,12089.0,2019.0,fl
5236,Okaloosa County,12091.0,2019.0,fl
63,Okeechobee County,12093.0,2019.0,fl
376740,Orange County,12095.0,2019.0,fl
14766,Osceola County,12097.0,2019.0,fl
465956,Palm Beach County,12099.0,2019.0,fl
50204,Pasco County,12101.0,2019.0,fl
213994,Pinellas County,12103.0,2019.0,fl
50445,Polk County,12105.0,2019.0,fl
840,Putnam County,12107.0,2019.0,fl
15568,St. Johns County,12109.0,2019.0,fl
12029,St. Lucie County,12111.0,2019.0,fl
3380,Santa Rosa County,12113.0,2019.0,fl
60421,Sarasota County,12115.0,2019.0,fl
42201,Seminole County,12117.0,2019.0,fl
3315,Sumter County,12119.0,2019.0,fl
160,Suwannee County,12121.0,2019.0,fl
42,Taylor County,12123.0,2019.0,fl
8,Union County,12125.0,2019.0,fl
44247,Volusia County,12127.0,2019.0,fl
105,Wakulla County,12129.0,2019.0,fl
2565,Walton County,12131.0,2019.0,fl
100,Washington County,12133.0,2019.0,fl
72,Baker County,13007.0,2019.0,fl
35,Calhoun County,13037.0,2019.0,fl
2079,Clay County,13061.0,2019.0,fl
328,Columbia County,13073.0,2019.0,fl
39680,Dade County,13083.0,2019.0,fl
198,Franklin County,13119.0,2019.0,fl
255,Jackson County,13157.0,2019.0,fl
189,Jefferson County,13163.0,2019.0,fl
11704,Lee County,13177.0,2019.0,fl
40,Liberty County,13179.0,2019.0,fl
24,Madison County,13195.0,2019.0,fl
2300,Marion County,13197.0,2019.0,fl
3124,Monroe County,13207.0,2019.0,fl
7695,Polk County,13233.0,2019.0,fl
210,Putnam County,13237.0,2019.0,fl
6252,Seminole County,13253.0,2019.0,fl
2295,Sumter County,13261.0,2019.0,fl
48,Taylor County,13269.0,2019.0,fl
14,Union County,13291.0,2019.0,fl
2223,Walton County,13297.0,2019.0,fl
100,Washington County,13303.0,2019.0,fl
126,Franklin County,16041.0,2019.0,fl
210,Jefferson County,16051.0,2019.0,fl
20,Madison County,16065.0,2019.0,fl
50,Washington County,16087.0,2019.0,fl
45,Calhoun County,17013.0,2019.0,fl
3861,Clay County,17025.0,2019.0,fl
360,Franklin County,17055.0,2019.0,fl
20,Hamilton County,17065.0,2019.0,fl
315,Jackson County,17077.0,2019.0,fl
462,Jefferson County,17081.0,2019.0,fl
33456,Lake County,17097.0,2019.0,fl
35112,Lee County,17103.0,2019.0,fl
76,Madison County,17119.0,2019.0,fl
8280,Marion County,17121.0,2019.0,fl
3124,Monroe County,17133.0,2019.0,fl
336,Putnam County,17155.0,2019.0,fl
28,Union County,17181.0,2019.0,fl
140,Washington County,17189.0,2019.0,fl
5346,Clay County,18021.0,2019.0,fl
270,Franklin County,18047.0,2019.0,fl
60,Hamilton County,18057.0,2019.0,fl
150,Jackson County,18071.0,2019.0,fl
252,Jefferson County,18077.0,2019.0,fl
27744,Lake County,18089.0,2019.0,fl
40,Madison County,18095.0,2019.0,fl
25760,Marion County,18097.0,2019.0,fl
5067,Martin County,18101.0,2019.0,fl
6532,Monroe County,18105.0,2019.0,fl
62790,Orange County,18117.0,2019.0,fl
714,Putnam County,18133.0,2019.0,fl
10,Union County,18161.0,2019.0,fl
130,Washington County,18175.0,2019.0,fl
70,Calhoun County,19025.0,2019.0,fl
5643,Clay County,19041.0,2019.0,fl
342,Franklin County,19069.0,2019.0,fl
32,Hamilton County,19079.0,2019.0,fl
240,Jackson County,19097.0,2019.0,fl
336,Jefferson County,19101.0,2019.0,fl
20482,Lee County,19111.0,2019.0,fl
40,Madison County,19121.0,2019.0,fl
8740,Marion County,19125.0,2019.0,fl
2272,Monroe County,19135.0,2019.0,fl
6420,Osceola County,19143.0,2019.0,fl
53865,Polk County,19153.0,2019.0,fl
66,Taylor County,19173.0,2019.0,fl
22,Union County,19175.0,2019.0,fl
130,Washington County,19183.0,2019.0,fl
2970,Clay County,20027.0,2019.0,fl
234,Franklin County,20059.0,2019.0,fl
6,Hamilton County,20075.0,2019.0,fl
300,Jackson County,20085.0,2019.0,fl
315,Jefferson County,20087.0,2019.0,fl
8740,Marion County,20115.0,2019.0,fl
150,Washington County,20201.0,2019.0,fl
4455,Clay County,21051.0,2019.0,fl
162,Franklin County,21073.0,2019.0,fl
120,Jackson County,21109.0,2019.0,fl
1449,Jefferson County,21111.0,2019.0,fl
13167,Lee County,21129.0,2019.0,fl
16,Madison County,21151.0,2019.0,fl
5520,Marion County,21155.0,2019.0,fl
5067,Martin County,21159.0,2019.0,fl
1988,Monroe County,21171.0,2019.0,fl
48,Taylor County,21217.0,2019.0,fl
12,Union County,21225.0,2019.0,fl
100,Washington County,21229.0,2019.0,fl
396,Franklin County,23007.0,2019.0,fl
320,Washington County,23029.0,2019.0,fl
250,Washington County,24043.0,2019.0,fl
684,Franklin County,25011.0,2019.0,fl
4266,Bay County,26017.0,2019.0,fl
120,Calhoun County,26025.0,2019.0,fl
465,Jackson County,26075.0,2019.0,fl
8976,Lake County,26085.0,2019.0,fl
7100,Monroe County,26115.0,2019.0,fl
6420,Osceola County,26133.0,2019.0,fl
5940,Clay County,27027.0,2019.0,fl
210,Jackson County,27063.0,2019.0,fl
6528,Lake County,27075.0,2019.0,fl
8445,Martin County,27091.0,2019.0,fl
19665,Polk County,27119.0,2019.0,fl
230,Washington County,27163.0,2019.0,fl
60,Calhoun County,28013.0,2019.0,fl
2673,Clay County,28025.0,2019.0,fl
126,Franklin County,28037.0,2019.0,fl
54,Holmes County,28051.0,2019.0,fl
225,Jackson County,28059.0,2019.0,fl
147,Jefferson County,28063.0,2019.0,fl
24871,Lee County,28081.0,2019.0,fl
28,Madison County,28089.0,2019.0,fl
3680,Marion County,28091.0,2019.0,fl
3976,Monroe County,28095.0,2019.0,fl
26,Union County,28145.0,2019.0,fl
170,Washington County,28151.0,2019.0,fl
9207,Clay County,29047.0,2019.0,fl
103168,Dade County,29057.0,2019.0,fl
432,Franklin County,29071.0,2019.0,fl
1185,Jackson County,29095.0,2019.0,fl
609,Jefferson County,29099.0,2019.0,fl
14,Madison County,29123.0,2019.0,fl
4600,Marion County,29127.0,2019.0,fl
4260,Monroe County,29137.0,2019.0,fl
16245,Polk County,29167.0,2019.0,fl
420,Putnam County,29171.0,2019.0,fl
180,Washington County,29221.0,2019.0,fl
210,Jefferson County,30043.0,2019.0,fl
12240,Lake County,30047.0,2019.0,fl
24,Liberty County,30051.0,2019.0,fl
30,Madison County,30057.0,2019.0,fl
4455,Clay County,31035.0,2019.0,fl
162,Franklin County,31061.0,2019.0,fl
28,Hamilton County,31081.0,2019.0,fl
294,Jefferson County,31095.0,2019.0,fl
18,Madison County,31119.0,2019.0,fl
8550,Polk County,31143.0,2019.0,fl
150,Washington County,31177.0,2019.0,fl
161658,Hillsborough County,33011.0,2019.0,fl
80,Union County,34039.0,2019.0,fl
18,Union County,35059.0,2019.0,fl
1681,Columbia County,36021.0,2019.0,fl
504,Franklin County,36033.0,2019.0,fl
28,Hamilton County,36041.0,2019.0,fl
966,Jefferson County,36045.0,2019.0,fl
64,Madison County,36053.0,2019.0,fl
19596,Monroe County,36055.0,2019.0,fl
13529,Nassau County,36059.0,2019.0,fl
289800,Orange County,36071.0,2019.0,fl
756,Putnam County,36079.0,2019.0,fl
290,Washington County,36115.0,2019.0,fl
1485,Clay County,37043.0,2019.0,fl
216,Franklin County,37069.0,2019.0,fl
210,Jackson County,37099.0,2019.0,fl
10241,Lee County,37105.0,2019.0,fl
14,Madison County,37115.0,2019.0,fl
6756,Martin County,37117.0,2019.0,fl
86940,Orange County,37135.0,2019.0,fl
7695,Polk County,37149.0,2019.0,fl
28,Union County,37179.0,2019.0,fl
50,Washington County,37187.0,2019.0,fl
1134,Franklin County,39049.0,2019.0,fl
138,Hamilton County,39061.0,2019.0,fl
120,Holmes County,39075.0,2019.0,fl
180,Jackson County,39079.0,2019.0,fl
525,Jefferson County,39081.0,2019.0,fl
11424,Lake County,39085.0,2019.0,fl
26,Madison County,39097.0,2019.0,fl
6900,Marion County,39101.0,2019.0,fl
5112,Monroe County,39111.0,2019.0,fl
924,Putnam County,39137.0,2019.0,fl
42,Union County,39159.0,2019.0,fl
250,Washington County,39167.0,2019.0,fl
150,Jackson County,40065.0,2019.0,fl
126,Jefferson County,40067.0,2019.0,fl
17193,Seminole County,40133.0,2019.0,fl
130,Washington County,40147.0,2019.0,fl
156,Baker County,41001.0,2019.0,fl
369,Columbia County,41009.0,2019.0,fl
285,Jackson County,41029.0,2019.0,fl
147,Jefferson County,41031.0,2019.0,fl
7344,Lake County,41037.0,2019.0,fl
16100,Marion County,41047.0,2019.0,fl
9405,Polk County,41053.0,2019.0,fl
18,Union County,41061.0,2019.0,fl
380,Washington County,41067.0,2019.0,fl
270,Bradford County,42015.0,2019.0,fl
943,Columbia County,42037.0,2019.0,fl
630,Franklin County,42055.0,2019.0,fl
651,Jefferson County,42065.0,2019.0,fl
11360,Monroe County,42089.0,2019.0,fl
30,Union County,42119.0,2019.0,fl
680,Washington County,42125.0,2019.0,fl
230,Washington County,44009.0,2019.0,fl
35,Calhoun County,45017.0,2019.0,fl
17556,Lee County,45061.0,2019.0,fl
3680,Marion County,45067.0,2019.0,fl
4335,Sumter County,45085.0,2019.0,fl
20,Union County,45087.0,2019.0,fl
2376,Clay County,46027.0,2019.0,fl
90,Jackson County,46071.0,2019.0,fl
12240,Lake County,46079.0,2019.0,fl
14,Union County,46127.0,2019.0,fl
2079,Clay County,47027.0,2019.0,fl
324,Franklin County,47051.0,2019.0,fl
74,Hamilton County,47065.0,2019.0,fl
165,Jackson County,47087.0,2019.0,fl
210,Jefferson County,47089.0,2019.0,fl
2448,Lake County,47095.0,2019.0,fl
34,Madison County,47113.0,2019.0,fl
6440,Marion County,47115.0,2019.0,fl
2840,Monroe County,47123.0,2019.0,fl
11115,Polk County,47139.0,2019.0,fl
504,Putnam County,47141.0,2019.0,fl
